date,food_demand_kg,water_demand_liters,medicine_demand_units,shelter_demand_units
2021-01-10,2354,7689,896,111
2021-01-11,4135,15294,724,431
2021-01-12,3096,12780,726,164
2021-01-13,8158,18290,351,286
2021-01-14,5552,6206,998,455
2021-01-15,4858,9923,736,371
2021-01-16,2659,4882,746,203
2021-01-17,2436,10983,754,141
2021-01-18,6446,19669,892,464
2021-01-19,3399,12089,325,118
2021-01-20,7880,16342,614,71
2021-01-21,6498,6666,128,230
2021-01-22,3861,10204,235,425
2021-01-23,4628,12143,339,279
2021-01-24,7133,16355,727,63
2021-01-25,7271,18835,677,334
2021-01-26,5554,4734,721,353
2021-01-27,8105,17678,637,373
2021-01-28,5706,3326,951,203
2021-01-29,9260,15085,814,186
2021-01-30,5572,5714,927,403
2021-01-31,9290,7037,585,219
2021-02-01,4109,12961,158,366
2021-02-02,4322,4828,932,336
2021-02-03,8461,7404,563,357
2021-02-04,2182,13252,124,437
2021-02-05,4500,5465,229,121
2021-02-06,1630,9900,111,287
2021-02-07,8626,16599,366,291
2021-02-08,3084,6257,959,310
2021-02-09,6560,19291,628,224
2021-02-10,9887,6628,692,330
2021-02-11,2819,5297,962,315
2021-02-12,8046,8849,173,370
2021-02-13,8791,4040,417,226
2021-02-14,1672,9137,727,453
2021-02-15,6499,11446,724,416
2021-02-16,4099,11430,463,91
2021-02-17,7697,5760,744,227
2021-02-18,4538,3331,978,182
2021-02-19,7712,6615,857,455
2021-02-20,7240,19753,389,254
2021-02-21,7837,2493,634,336
2021-02-22,3115,19227,536,73
2021-02-23,3014,14669,161,97
2021-02-24,2362,3935,319,490
2021-02-25,4640,9209,880,483
2021-02-26,3033,19571,111,89
2021-02-27,4673,4507,969,162
2021-02-28,4201,3493,233,180
2021-03-01,6968,2225,759,401
2021-03-02,2669,17049,898,155
2021-03-03,6022,5386,689,273
2021-03-04,4058,16970,562,479
2021-03-05,1253,12823,427,301
2021-03-06,6645,19677,683,80
2021-03-07,4178,18110,558,338
2021-03-08,6643,13733,414,496
2021-03-09,4142,17874,728,468
2021-03-10,4869,3261,732,404
2021-03-11,2216,19859,370,212
2021-03-12,1404,14304,815,403
2021-03-13,4458,18707,232,467
2021-03-14,2268,11273,849,384
2021-03-15,7236,7981,423,443
2021-03-16,7400,11727,643,294
2021-03-17,7476,15995,130,225
2021-03-18,7671,5834,776,235
2021-03-19,2165,10257,794,292
2021-03-20,6059,6715,768,133
2021-03-21,8999,5022,639,78
2021-03-22,7753,11947,328,175
2021-03-23,1226,10606,870,250
2021-03-24,2477,15725,661,196
2021-03-25,9004,9808,119,95
2021-03-26,5727,18869,972,479
2021-03-27,3857,9602,590,440
2021-03-28,1544,6766,189,474
2021-03-29,9455,14731,367,495
2021-03-30,3575,14604,979,319
2021-03-31,8075,12539,422,106
2021-04-01,1158,6271,249,246
2021-04-02,8341,2425,354,237
2021-04-03,6551,10737,435,426
2021-04-04,8457,7872,399,258
2021-04-05,6300,8197,693,55
2021-04-06,3894,10602,485,250
2021-04-07,4739,19549,995,435
2021-04-08,2110,6362,820,464
2021-04-09,8494,17427,771,56
2021-04-10,3748,18147,293,234
2021-04-11,6119,3008,789,396
2021-04-12,9213,15582,742,255
2021-04-13,3674,13691,927,50
2021-04-14,5739,18026,440,168
2021-04-15,7421,3946,563,210
2021-04-16,5890,4765,562,428
2021-04-17,8849,15249,736,139
2021-04-18,2351,8088,914,247
2021-04-19,6879,2099,441,107
2021-04-20,8334,3171,145,350
2021-04-21,4898,17115,136,418
2021-04-22,4337,14797,968,409
2021-04-23,5448,18649,874,94
2021-04-24,8498,2344,488,62
2021-04-25,2777,19791,440,411
2021-04-26,4423,3877,826,155
2021-04-27,6516,17603,702,94
2021-04-28,3921,12145,766,191
2021-04-29,6988,6001,369,92
2021-04-30,6883,12976,711,433
2021-05-01,6601,12089,630,387
2021-05-02,4185,12707,830,444
2021-05-03,4765,18063,162,135
2021-05-04,2830,13331,760,463
2021-05-05,2743,6674,926,57
2021-05-06,4447,4153,580,190
2021-05-07,3140,14253,237,221
2021-05-08,3437,6299,469,114
2021-05-09,7724,4205,739,214
2021-05-10,9551,16777,800,253
2021-05-11,9222,2138,390,196
2021-05-12,7893,15565,720,78
2021-05-13,5018,9016,168,390
2021-05-14,2316,7693,399,431
2021-05-15,6334,15796,425,77
2021-05-16,5907,6564,306,212
2021-05-17,6434,5884,167,448
2021-05-18,2756,6276,640,146
2021-05-19,3730,9829,105,294
2021-05-20,7579,4138,277,227
2021-05-21,1879,16753,538,87
2021-05-22,6385,7468,461,303
2021-05-23,7167,4080,946,191
2021-05-24,2318,9617,624,257
2021-05-25,8891,16539,792,317
2021-05-26,6187,14681,897,101
2021-05-27,9095,7738,618,372
2021-05-28,6274,18566,790,231
2021-05-29,6237,6932,763,237
2021-05-30,5839,7714,769,93
2021-05-31,3889,2648,205,185
2021-06-01,4325,14890,995,250
2021-06-02,9712,9570,522,181
2021-06-03,8523,14148,339,339
2021-06-04,4945,11598,324,295
2021-06-05,4353,19273,275,223
2021-06-06,5909,18841,104,223
2021-06-07,1261,15688,322,351
2021-06-08,8817,9267,408,94
2021-06-09,8931,11375,581,121
2021-06-10,6964,2782,860,465
2021-06-11,2557,12563,201,272
2021-06-12,8881,9521,365,410
2021-06-13,8861,18178,937,476
2021-06-14,6538,19888,911,145
2021-06-15,5475,15482,852,449
2021-06-16,5802,17741,131,360
2021-06-17,3168,2309,503,326
2021-06-18,7096,18564,344,68
2021-06-19,5824,11674,150,123
2021-06-20,5193,8358,163,335
2021-06-21,1056,6200,197,393
2021-06-22,9511,11887,148,389
2021-06-23,3545,10809,335,73
2021-06-24,7591,14345,778,482
2021-06-25,1391,3209,112,447
2021-06-26,6566,11799,483,225
2021-06-27,6331,6103,256,340
2021-06-28,5783,15226,898,251
2021-06-29,5498,18022,975,223
2021-06-30,8128,8912,516,332
2021-07-01,1048,8082,726,160
2021-07-02,1219,15585,757,293
2021-07-03,2034,8421,972,274
2021-07-04,1152,6648,263,180
2021-07-05,1878,12750,294,414
2021-07-06,4489,15902,874,197
2021-07-07,5282,14297,177,367
2021-07-08,1538,3124,151,443
2021-07-09,4450,11008,143,370
2021-07-10,1644,11521,176,81
2021-07-11,6498,8356,526,453
2021-07-12,7542,5441,215,268
2021-07-13,9414,15524,285,497
2021-07-14,5144,6538,286,219
2021-07-15,1456,15492,850,72
2021-07-16,6404,9453,764,299
2021-07-17,6060,10199,347,154
2021-07-18,8704,17445,440,247
2021-07-19,2496,8174,302,302
2021-07-20,4062,11241,857,264
2021-07-21,1229,9031,961,243
2021-07-22,2470,10159,530,176
2021-07-23,9770,13703,443,201
2021-07-24,1416,9956,269,199
2021-07-25,9635,10574,887,154
2021-07-26,7265,7316,669,332
2021-07-27,1871,16619,279,392
2021-07-28,5909,16825,292,415
2021-07-29,7910,7695,605,215
2021-07-30,1359,10529,308,251
2021-07-31,6243,5165,338,343
2021-08-01,3215,13338,752,382
2021-08-02,9043,6236,385,52
2021-08-03,3164,8976,228,228
2021-08-04,5887,2892,259,425
2021-08-05,2679,9781,195,282
2021-08-06,3674,16872,293,94
2021-08-07,9011,10119,542,52
2021-08-08,9770,15645,427,104
2021-08-09,5157,10146,140,112
2021-08-10,1615,18706,919,112
2021-08-11,8689,6108,503,351
2021-08-12,5321,5417,817,431
2021-08-13,9439,7407,511,163
2021-08-14,6166,4973,788,330
2021-08-15,7130,15528,956,323
2021-08-16,8642,13265,616,140
2021-08-17,5102,12056,381,199
2021-08-18,7049,8800,504,440
2021-08-19,9471,8191,936,254
2021-08-20,2979,9522,972,68
2021-08-21,6999,14433,974,319
2021-08-22,9349,12300,125,495
2021-08-23,7628,8838,939,331
2021-08-24,9090,16059,292,446
2021-08-25,8415,6601,963,466
2021-08-26,2608,17165,124,116
2021-08-27,3025,19716,261,383
2021-08-28,9971,17219,400,377
2021-08-29,9937,15272,380,412
2021-08-30,1814,17406,223,276
2021-08-31,7482,12406,251,370
2021-09-01,5338,3097,219,128
2021-09-02,3922,16195,333,245
2021-09-03,7055,19013,352,405
2021-09-04,9718,13178,521,384
2021-09-05,6033,3868,543,288
2021-09-06,5435,12313,413,475
2021-09-07,1049,6733,519,436
2021-09-08,7219,14111,451,309
2021-09-09,7261,15920,175,141
2021-09-10,9994,14940,290,360
2021-09-11,6560,6862,161,206
2021-09-12,1422,3756,544,160
2021-09-13,7390,13259,307,154
2021-09-14,9460,7185,794,484
2021-09-15,2473,8374,209,195
2021-09-16,7833,11758,578,391
2021-09-17,1422,10805,557,372
2021-09-18,3292,7622,702,477
2021-09-19,6245,4744,673,77
2021-09-20,6227,7037,587,420
2021-09-21,7595,19492,123,392
2021-09-22,6214,14055,751,366
2021-09-23,8990,2887,964,401
2021-09-24,9286,13147,249,347
2021-09-25,6960,5298,400,456
2021-09-26,4579,2604,730,453
2021-09-27,4651,10370,231,205
2021-09-28,5075,8732,327,250
2021-09-29,9628,13164,551,151
2021-09-30,2537,13830,670,414
2021-10-01,6082,8420,798,329
2021-10-02,5603,19979,247,57
2021-10-03,7135,7719,667,50
2021-10-04,4023,11747,191,70
2021-10-05,1938,9613,235,231
2021-10-06,1814,6611,582,373
2021-10-07,9545,10837,307,444
2021-10-08,8608,16052,918,269
2021-10-09,4124,10166,620,367
2021-10-10,5867,10253,747,360
2021-10-11,9896,16426,613,246
2021-10-12,3309,19121,923,423
2021-10-13,2234,12528,968,224
2021-10-14,7402,17755,775,166
2021-10-15,3299,7548,905,170
2021-10-16,4632,6551,713,405
2021-10-17,8371,13930,608,309
2021-10-18,8312,15383,492,434
2021-10-19,9085,17126,245,59
2021-10-20,1666,7646,263,291
2021-10-21,5362,16967,889,474
2021-10-22,2006,17170,415,166
2021-10-23,7117,11844,202,300
2021-10-24,4763,6290,489,94
2021-10-25,4801,3368,955,383
2021-10-26,9819,8510,704,94
2021-10-27,4405,18054,157,253
2021-10-28,1329,4011,585,105
2021-10-29,7190,19213,993,157
2021-10-30,1422,2185,507,438
2021-10-31,2122,18640,239,407
2021-11-01,7157,5214,608,264
2021-11-02,8618,6473,475,104
2021-11-03,2505,4937,669,137
2021-11-04,1376,6671,511,331
2021-11-05,2835,12201,316,99
2021-11-06,7410,15026,524,294
2021-11-07,5606,8554,315,482
2021-11-08,5762,7998,723,397
2021-11-09,6724,14693,123,246
2021-11-10,7558,8102,658,495
2021-11-11,6782,4057,110,449
2021-11-12,7779,10266,118,151
2021-11-13,4002,18300,245,403
2021-11-14,8648,11000,868,463
2021-11-15,2199,16066,958,343
2021-11-16,2725,3405,590,337
2021-11-17,6893,15847,465,119
2021-11-18,7599,19300,685,405
2021-11-19,2130,4302,875,100
2021-11-20,3354,4576,489,151
2021-11-21,4918,18948,312,296
2021-11-22,5145,2899,694,218
2021-11-23,6129,15263,347,316
2021-11-24,6312,12751,153,140
2021-11-25,1652,6900,788,172
2021-11-26,7437,7774,475,131
2021-11-27,9371,12345,545,385
2021-11-28,8942,14018,937,306
2021-11-29,3565,9533,363,432
2021-11-30,8238,12229,571,353
2021-12-01,5224,4766,436,125
2021-12-02,7555,13658,909,299
2021-12-03,1139,12245,253,314
2021-12-04,2234,16652,807,496
2021-12-05,5217,11959,251,482
2021-12-06,4323,15827,166,249
2021-12-07,9807,9218,138,131
2021-12-08,9852,4063,752,406
2021-12-09,1872,16367,653,183
2021-12-10,6266,9569,752,94
2021-12-11,5435,15296,502,481
2021-12-12,6549,12168,517,211
2021-12-13,7432,3741,172,369
2021-12-14,3445,15277,555,428
2021-12-15,6229,15544,128,354
2021-12-16,9777,16789,209,221
2021-12-17,8927,17037,959,255
2021-12-18,7987,2256,728,299
2021-12-19,8651,15033,235,151
2021-12-20,1965,19219,737,408
2021-12-21,1546,14880,628,404
2021-12-22,3294,17471,572,316
2021-12-23,1071,18304,267,349
2021-12-24,4373,17354,329,165
2021-12-25,5770,12546,894,252
2021-12-26,2160,11745,163,223
2021-12-27,8896,16817,782,409
2021-12-28,5144,7243,363,182
2021-12-29,9638,8965,128,397
2021-12-30,8067,6321,685,143
2021-12-31,9038,8140,558,234
2022-01-01,5584,4998,514,487
2022-01-02,3021,12877,930,282
2022-01-03,7917,18919,181,296
2022-01-04,9685,6567,511,68
2022-01-05,2125,16252,774,464
2022-01-06,6166,14964,532,159
2022-01-07,9725,6201,761,386
2022-01-08,5396,18006,459,109
2022-01-09,6166,16460,977,315
2022-01-10,6061,19577,434,301
2022-01-11,1708,11676,459,341
2022-01-12,6779,4716,308,174
2022-01-13,7238,11913,712,123
2022-01-14,8807,19115,345,126
2022-01-15,8348,14380,313,423
2022-01-16,7863,13975,837,402
2022-01-17,7064,10669,751,296
2022-01-18,5960,11446,670,490
2022-01-19,8458,15182,356,246
2022-01-20,3913,16738,664,472
2022-01-21,1413,18107,741,256
2022-01-22,3219,9533,321,75
2022-01-23,1081,6453,451,368
2022-01-24,3693,19226,449,469
2022-01-25,9762,10701,805,127
2022-01-26,7885,3219,909,338
2022-01-27,3782,11462,443,281
2022-01-28,6570,7004,111,99
2022-01-29,9948,15092,574,399
2022-01-30,8388,7324,212,118
2022-01-31,6863,15382,486,177
2022-02-01,2557,18137,244,430
2022-02-02,8638,10534,512,151
2022-02-03,9875,16324,517,262
2022-02-04,8567,9888,938,468
2022-02-05,8967,14392,724,112
2022-02-06,8900,14533,100,386
2022-02-07,3303,16189,174,218
2022-02-08,8132,8215,831,107
2022-02-09,7784,3969,922,494
2022-02-10,5504,19693,403,132
2022-02-11,5928,18604,771,483
2022-02-12,2253,2120,128,122
2022-02-13,5563,19112,193,384
2022-02-14,1409,15849,580,180
2022-02-15,4756,10469,565,469
2022-02-16,4603,11697,979,498
2022-02-17,4887,16410,432,159
2022-02-18,3636,4841,229,86
2022-02-19,3880,14476,716,451
2022-02-20,3139,18139,555,463
2022-02-21,9642,9602,398,252
2022-02-22,6739,16049,853,119
2022-02-23,1771,14758,781,169
2022-02-24,8946,8836,502,324
2022-02-25,4238,14516,736,364
2022-02-26,1459,14944,137,112
2022-02-27,7514,2600,116,293
2022-02-28,4248,4000,513,249
2022-03-01,8239,19350,536,64
2022-03-02,4525,10483,940,215
2022-03-03,1032,8362,539,365
2022-03-04,7019,18111,264,181
2022-03-05,9062,12177,983,320
2022-03-06,5781,14720,824,385
2022-03-07,6391,18525,535,252
2022-03-08,4334,15946,654,331
2022-03-09,7558,12969,646,72
2022-03-10,7718,7024,473,245
2022-03-11,7945,14377,266,385
2022-03-12,1439,7237,655,457
2022-03-13,4416,9368,646,285
2022-03-14,7962,18597,790,233
2022-03-15,3560,2444,502,110
2022-03-16,1912,12051,684,73
2022-03-17,8822,17337,365,329
2022-03-18,7853,11589,434,323
2022-03-19,7361,9184,747,412
2022-03-20,7212,6761,740,144
2022-03-21,4286,18760,368,240
2022-03-22,5592,5187,777,191
2022-03-23,6120,14780,596,398
2022-03-24,4157,9920,710,159
2022-03-25,8893,5559,875,215
2022-03-26,3541,10536,293,74
2022-03-27,4264,17237,362,351
2022-03-28,3816,4338,919,444
2022-03-29,8196,9954,815,205
